"ResponseId","PROLIFIC_PID","participant_party","learner_party","political_extremism","block","condition","env1_own","env2_own","env3_own","env4_own","env5_own","env6_own","env1_ingroup","env2_ingroup","env3_ingroup","env4_ingroup","env5_ingroup","env6_ingroup","env1_outgroup_pre","env2_outgroup_pre","env3_outgroup_pre","env4_outgroup_pre","env5_outgroup_pre","env6_outgroup_pre","env1_outgroup_post","env2_outgroup_post","env3_outgroup_post","env4_outgroup_post","env5_outgroup_post","env6_outgroup_post","green_own","green_ingroup","green_outgroup_pre","green_outgroup_post","accuracy_pre","accuracy_post","actual_green","warmth_outgroup_pre","warmth_ingroup_pre","warmth_outgroup_post","warmth_ingroup_post","warmth_diff_pre","warmth_diff_post","confidence_ingroup","confidence_outgroup_pre","confidence_outgroup_post","donation","age","gender","race_1","race_2","race_6","race_3","race_4","race_7","race_5","tab_switch_count","time_hidden_ms","tab_switch_count_bot","time_hidden_ms_bot","duration_sec","talk_partner","comments"
"R_6hRtYZM8Hy36nJD","63b0888e6716ff9bc2cda151","Republican","R→D",94,"rep_first","twin_democrat",4,2,1,2,2,1,2,2,1,1,2,1,5,5,5,5,4,5,4,4,4,4,5,4,2,1.5,4.83333333333333,4.16666666666667,-0.836666666666666,-0.17,3.99666666666667,51,93,50,92,-42,-42,4,4,4,50,54,"Male",NA,NA,NA,NA,NA,NA,"Other",0,0,1,594380,1260,"I'd rather talk with a democrat","None"
"R_3iUxMWFz3mxVJKM","66c759ddaa2a477714a13d63","Democrat","D→R",100,"dem_first","twin_republican",5,5,5,5,5,4,5,4,5,5,5,4,4,2,2,4,3,1,4,2,2,2,4,1,4.83333333333333,4.66666666666667,2.66666666666667,2.5,-1.10884353741497,-1.27551020408163,3.77551020408163,15,100,14,100,-85,-86,4,4,3,20,33,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,1,18029,1,591086,1539,"I'd rather talk with a democrat",NA
"R_3KCNmyynKcgNAyc","5d9b7c7efaa2860364b16476","Republican","R→D",83,"rep_first","twin_democrat",4,4,3,4,4,4,4,3,5,4,5,4,2,3,3,2,3,3,5,5,4,4,5,4,3.83333333333333,4.16666666666667,2.66666666666667,4.5,-1.33,-0.503333333333333,3.99666666666667,49,79,51,85,-30,-34,4,3,4,36,36,"Male","White",NA,NA,NA,NA,NA,NA,0,0,3,324521,1138,"I'd rather talk with a republican","interesting"
"R_6R1mYuFkmUmIjTl","66e87276ccc570e1c0d7df24","Republican","R→D",86,"dem_first","twin_democrat",5,5,4,2,5,5,5,5,4,2,5,5,3,3,3,4,2,4,3,3,4,3,4,4,4.33333333333333,4.33333333333333,3.16666666666667,3.5,-0.83,-0.496666666666667,3.99666666666667,31,100,16,100,-69,-84,2,2,3,50,56,"Female","White",NA,NA,NA,NA,NA,NA,0,0,10,354180,910,"I'd rather talk with a republican","No comment"
"R_6LUShfeivo9v7NI","59c0782e5364260001dc4740","Democrat","D→R",100,"dem_first","twin_republican",4,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3.16666666666667,4,4,4.33333333333333,-0.224489795918367,-0.5578231292517,3.77551020408163,50,100,50,100,-50,-50,2,2,2,50,62,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,2,333614,858,"I'd rather talk with a democrat",NA
"R_1hKhMOmKHqWU30i","6991e1037df94da6274eb05c","Republican","R→D",100,"rep_first","twin_democrat",5,5,4,5,5,1,4,4,4,4,5,2,3,3,2,3,3,5,4,5,4,3,4,3,4.16666666666667,3.83333333333333,3.16666666666667,3.83333333333333,-0.83,-0.163333333333333,3.99666666666667,29,99,74,82,-70,-8,5,2,4,25,47,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,137185,1316,"I'd rather talk with a republican",NA
"R_6Ehtm9xFqW7b0wM","67e1dede9ac73d05f0eb255e","Republican","R→D",84,"dem_first","twin_democrat",5,4,4,5,5,4,4,4,4,5,4,4,4,3,3,5,4,4,5,4,4,5,5,5,4.5,4.16666666666667,3.83333333333333,4.66666666666667,-0.163333333333333,-0.67,3.99666666666667,58,86,52,72,-28,-20,4,3,3,50,28,"Female",NA,NA,NA,NA,"Asian",NA,NA,0,0,7,383784,2826,"I'd rather talk with a republican","NA"
"R_582RmWkH5Xi2s2R","678712caf70562b83286c6e3","Republican","R→D",100,"dem_first","twin_democrat",5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,1,5,5,3,1,-0.996666666666667,-2.99666666666667,3.99666666666667,30,100,30,100,-70,-70,5,5,5,5,67,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,583794,1541,"I'd rather talk with a republican","I have no complaint, I enjoyed the study."
"R_7lVVFjN6giiUgeS","6942ebd5e8bb18e665b37214","Democrat","D→R",60,"rep_first","twin_republican",5,1,1,4,2,4,5,4,4,5,4,5,2,2,1,3,3,1,2,1,1,2,2,1,2.83333333333333,4.5,2,1.5,-1.77551020408163,-2.27551020408163,3.77551020408163,40,60,40,60,-20,-20,2,2,3,50,23,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,2,301848,1392,"I'd rather talk with a republican",NA
"R_3k53C8UNvl76fyV","69600176b8aa9dc45acdbead","Republican","R→D",95,"dem_first","twin_democrat",4,3,3,5,4,4,4,3,2,4,4,3,5,5,4,5,5,5,4,4,3,5,5,4,3.83333333333333,3.33333333333333,4.83333333333333,4.16666666666667,-0.836666666666666,-0.17,3.99666666666667,5,80,5,80,-75,-75,4,4,4,50,40,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,598382,871,"I'd rather talk with a republican","Despite popular belief, Republicans are not cold-hearted and are generous (even to those in need who are on the opposite side of the political aisle). If anything, as a Republican, I feel that Democrats are much colder toward us than we are to them."
"R_7U93wMZo3vCH5U5","659daa1ed4e13d6428103c1f","Democrat","D→R",69,"rep_first","twin_republican",5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,2,5,5,5,5,5,4,4.83333333333333,4.83333333333333,3.66666666666667,4.83333333333333,-0.108843537414966,-1.0578231292517,3.77551020408163,34,71,60,77,-37,-17,3,2,3,50,61,"Female",NA,NA,NA,NA,"Asian",NA,NA,0,0,1,596606,895,"I'd rather talk with a democrat",NA
"R_7mgivtKybmVXrYR","697145584fd211a6fe8c850a","Democrat","D→R",100,"rep_first","twin_republican",4,3,4,4,4,4,4,4,5,5,5,5,1,1,1,1,2,1,2,1,1,1,1,1,3.83333333333333,4.66666666666667,1.16666666666667,1.16666666666667,-2.60884353741497,-2.60884353741497,3.77551020408163,18,90,20,90,-72,-70,4,4,4,0,34,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,594612,977,"I'd rather talk with a democrat",NA
"R_5Xj1I9nIIGZ1MVK","69917c2285d6d83033bcb066","Democrat","D→R",1,"rep_first","twin_republican",1,1,1,1,2,1,4,4,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1,1,1.16666666666667,4,1.16666666666667,1,-2.60884353741497,-2.77551020408163,3.77551020408163,50,50,50,50,0,0,3,3,4,0,18,"Male",NA,NA,NA,NA,"Asian",NA,NA,0,0,2,592232,949,"I'd rather talk with a democrat",NA
"R_62RIdMHzssn9dJa","6950015633db665bd91254de","Democrat","D→R",98,"dem_first","twin_republican",5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,2,2,1,1,4.83333333333333,5,1,1.66666666666667,-2.77551020408163,-2.10884353741497,3.77551020408163,13,86,10,89,-73,-79,4,4,4,0,21,"Female","White",NA,NA,NA,NA,NA,NA,0,0,4,574034,751,"I'd rather talk with a democrat",NA
"R_7KoURIe0gGEgqSF","67e41073845419aa20c5dcfe","Republican","R→D",90,"rep_first","twin_democrat",4,2,2,2,4,2,4,1,1,1,2,1,5,5,5,5,5,5,4,4,4,5,5,4,2.66666666666667,1.66666666666667,5,4.33333333333333,-1.00333333333333,-0.336666666666666,3.99666666666667,66,92,63,88,-26,-25,4,4,4,50,45,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,594658,2658,"I'd rather talk with a democrat","None"
"R_5MGau1naGifeg6t","66e3740c4bc40251bdd0667a","Democrat","D→R",90,"rep_first","twin_republican",4,4,3,5,4,3,5,4,4,5,5,4,2,2,2,2,4,1,2,2,1,4,4,2,3.83333333333333,4.5,2.16666666666667,2.5,-1.60884353741497,-1.27551020408163,3.77551020408163,30,100,30,100,-70,-70,4,4,4,0,40,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,577188,873,"I'd rather talk with a republican","If I was chosen, I'd like to speak to a Republican to see if my views about the opposite political side were accurate and would like to get some insight as to how they truly feel."
"R_1wgbVU5SNCaFB6X","676dda2e34757c5868ccd91e","Republican","R→D",63,"dem_first","twin_democrat",2,2,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,4,5,2.83333333333333,3,3,4.66666666666667,-0.996666666666667,-0.67,3.99666666666667,44,66,50,50,-22,0,1,1,5,0,28,"Male","White",NA,NA,NA,NA,NA,NA,2,27569,1,591115,1066,"I'd rather talk with a democrat",NA
"R_67rxnUrj0IR6GAh","694555b4beadda60a5901ec0","Democrat","D→R",77,"dem_first","twin_republican",5,4,2,5,4,3,5,4,3,5,5,3,2,3,1,1,3,1,2,1,1,4,4,1,3.83333333333333,4.16666666666667,1.83333333333333,2.16666666666667,-1.9421768707483,-1.60884353741497,3.77551020408163,0,65,1,75,-65,-74,4,2,3,10,29,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,598646,1083,"I'd rather talk with a democrat",NA
"R_7EgmlDxyuJHD1Yd","697a400388ff4bcd707cde8e","Democrat","D→R",76,"dem_first","twin_republican",4,4,3,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,2,2,2,3.66666666666667,4,2,2.16666666666667,-1.77551020408163,-1.60884353741497,3.77551020408163,13,81,8,77,-68,-69,3,3,2,0,34,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,92542,753,"I'd rather talk with a democrat",NA
"R_5DwNz2YDM9H9rGS","55f61b4032af7400051715b0","Democrat","D→R",100,"dem_first","twin_republican",5,5,4,5,4,5,4,5,4,5,4,5,3,3,3,2,4,2,4,4,4,5,4,4,4.66666666666667,4.5,2.83333333333333,4.16666666666667,-0.942176870748299,-0.391156462585034,3.77551020408163,5,72,5,74,-67,-69,3,3,3,0,42,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,596016,863,"I'd rather talk with a republican","good chatbot"
"R_1Sq5U1RY5DCmQrD","62911a82ead4bc61607aa7d8","Republican","R→D",70,"dem_first","twin_democrat",3,3,2,4,4,1,2,2,1,3,2,1,5,4,4,5,5,4,4,4,4,4,5,4,2.83333333333333,1.83333333333333,4.5,4.16666666666667,-0.503333333333333,-0.17,3.99666666666667,70,85,70,85,-15,-15,4,3,4,0,38,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597992,934,"I'd rather talk with a democrat",NA
"R_3OJ9QlFfDXwp01M","6628141ef03d907d9b2ff86d","Republican","R→D",75,"rep_first","twin_democrat",4,3,3,5,3,4,3,2,2,4,2,2,4,3,3,4,3,4,5,5,5,5,5,5,3.66666666666667,2.5,3.5,5,-0.496666666666667,-1.00333333333333,3.99666666666667,10,40,10,40,-30,-30,3,3,4,50,43,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,596741,1160,"I'd rather talk with a republican",NA
"R_5NEveTzmAWL5gc8","698df144d5298c2f228451f3","Republican","R→D",60,"dem_first","twin_democrat",4,4,3,4,4,2,4,3,2,4,3,2,5,5,5,5,5,4,5,5,5,5,5,4,3.5,3,4.83333333333333,4.83333333333333,-0.836666666666666,-0.836666666666666,3.99666666666667,40,70,55,70,-30,-15,3,3,4,0,39,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,1,17238,3,553953,1385,"I'd rather talk with a republican","The study was engaging and clear"
"R_5TmUHs3wmELu0As","67382e41c232d1004b052fc4","Democrat","D→R",80,"rep_first","twin_republican",5,4,5,5,4,5,5,4,4,5,4,4,2,2,1,1,1,1,2,2,2,4,3,1,4.66666666666667,4.33333333333333,1.33333333333333,2.33333333333333,-2.4421768707483,-1.4421768707483,3.77551020408163,10,75,9,85,-65,-76,3,2,3,0,50,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,598592,853,"I'd rather talk with a republican",NA
"R_5M9h5KIEpLSYEsS","644c34bee80856c9546c7312","Democrat","D→R",48,"rep_first","twin_republican",2,2,1,4,4,4,1,1,1,2,2,2,1,1,1,2,2,2,2,4,2,4,4,4,2.83333333333333,1.5,1.5,3.33333333333333,-2.27551020408163,-0.442176870748299,3.77551020408163,52,52,50,50,0,0,3,3,4,50,33,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,597499,800,"I'd rather talk with a democrat",NA
"R_1kXHMK47H5GLBKL","60fdc73e9fc2f113dc1ff96d","Democrat","D→R",100,"dem_first","twin_republican",4,4,4,5,4,4,4,4,4,5,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4.16666666666667,4.16666666666667,1,4,-2.77551020408163,-0.224489795918367,3.77551020408163,0,100,0,100,-100,-100,4,4,3,0,29,"Female","White",NA,NA,NA,NA,NA,NA,0,0,3,594343,897,"I'd rather talk with a democrat",NA
"R_76nY0ya7Viz8mjb","699364c269fa2bfb6ffe7846","Republican","R→D",90,"rep_first","twin_democrat",5,5,5,5,5,5,5,4,4,5,4,4,4,2,4,4,2,1,4,5,5,4,4,4,5,4.33333333333333,2.83333333333333,4.33333333333333,-1.16333333333333,-0.336666666666666,3.99666666666667,76,91,58,90,-15,-32,4,4,4,10,34,"Male","White",NA,NA,NA,NA,NA,NA,0,0,10,83663,888,"I'd rather talk with a democrat","Nice survey"
"R_5fl0IM73lKmZL73","69895874e38aa0ccbeef08ad","Democrat","D→R",89,"dem_first","twin_republican",5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,4,4,4,4,4,4,5,5,1,4,-2.77551020408163,-0.224489795918367,3.77551020408163,20,94,45,86,-74,-41,4,4,3,0,28,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,2,594369,881,"I'd rather talk with a democrat",NA
"R_5RQcm3gL7nkZOcT","606f9bca353fc36aba9ccb8b","Republican","R→D",90,"dem_first","twin_democrat",4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,7,77,15,80,-70,-65,4,4,5,0,33,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,597283,917,"I'd rather talk with a republican",NA
"R_3ClNInAh8fqnI1r","67d1ebebaae0aec1ff52f76f","Republican","R→D",77,"dem_first","twin_democrat",5,5,4,4,5,5,5,4,3,4,4,4,5,4,3,2,4,4,5,4,5,2,4,4,4.66666666666667,4,3.66666666666667,4,-0.33,-0.00333333333333341,3.99666666666667,39,83,46,81,-44,-35,3,3,3,50,61,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,596169,1015,"I'd rather talk with a republican",NA
"R_3ESDixPxZCqfAE5","696672bf58495a18f8a1851a","Democrat","D→R",90,"rep_first","twin_republican",5,5,4,3,5,5,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,4.5,4,1,1.16666666666667,-2.77551020408163,-2.60884353741497,3.77551020408163,0,85,1,97,-85,-96,2,5,5,0,55,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,593044,860,"I'd rather talk with a democrat",NA
"R_6lQtOq08PoUYL5Q","698d677b5b2c7f886bb1998f","Democrat","D→R",99,"rep_first","twin_republican",4,4,3,4,4,4,4,4,3,2,4,4,3,2,3,4,2,2,2,2,2,3,2,2,3.83333333333333,3.5,2.66666666666667,2.16666666666667,-1.10884353741497,-1.60884353741497,3.77551020408163,41,91,41,92,-50,-51,3,3,2,25,41,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,596948,831,"I'd rather talk with a democrat",NA
"R_61cStmdTOSFUgsj","66b5038047257d743ef1a3a6","Republican","R→D",94,"dem_first","twin_democrat",3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,1,96,1,97,-95,-96,3,5,5,25,49,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597290,829,"I'd rather talk with a republican",NA
"R_5mIcHHqZ7MzjGvx","6941984defc3cfda7e9cdf6f","Republican","R→D",72,"dem_first","twin_democrat",5,5,4,5,5,5,5,5,4,5,5,5,2,2,1,1,3,2,4,4,4,5,4,4,4.83333333333333,4.83333333333333,1.83333333333333,4.16666666666667,-2.16333333333333,-0.17,3.99666666666667,16,100,21,100,-84,-79,3,5,4,50,34,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,595101,1134,"I'd rather talk with a democrat",NA
"R_53W92Qb6sYB97nm","67d64ac905f499cb54151b62","Democrat","D→R",80,"dem_first","twin_republican",5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,4,4,3.66666666666667,-0.224489795918367,-0.108843537414966,3.77551020408163,74,83,79,85,-9,-6,4,3,3,15,69,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,586540,1790,"I'd rather talk with a republican",NA
"R_3c2f6pDrVtJXix7","6985f4fbf0d138e1b1231702","Democrat","D→R",74,"dem_first","twin_republican",4,1,1,3,2,4,4,1,2,4,3,4,2,3,2,3,3,2,1,2,1,2,2,2,2.5,3,2.5,1.66666666666667,-1.27551020408163,-2.10884353741497,3.77551020408163,24,67,33,67,-43,-34,1,1,3,0,70,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597069,932,"I'd rather talk with a democrat",NA
"R_1gMBuM0ET3Kh8rs","67dc87a203686ea94ff1bc57","Republican","R→D",80,"rep_first","twin_democrat",5,4,4,5,5,4,5,4,4,5,5,4,4,4,3,4,4,4,3,4,4,4,4,4,4.5,4.5,3.83333333333333,3.83333333333333,-0.163333333333333,-0.163333333333333,3.99666666666667,31,75,29,76,-44,-47,4,3,3,10,59,"Male","White",NA,NA,NA,NA,NA,NA,2,58475,1,595191,3664,"I'd rather talk with a republican","N/A"
"R_3A34hPYcDbZXhF7","64309be1d7d085ed8ee4c129","Republican","R→D",85,"dem_first","twin_democrat",2,2,1,2,4,1,2,2,2,2,4,2,5,4,4,5,4,5,4,4,4,4,4,4,2,2.33333333333333,4.5,4,-0.503333333333333,-0.00333333333333341,3.99666666666667,0,85,0,85,-85,-85,4,4,4,0,31,"Male",NA,NA,NA,"Latino",NA,NA,NA,0,0,1,596404,783,"I'd rather talk with a republican","Great study, thank you."
"R_5E60gYz3d7VlGN6","5bcd315d0f10750001d7f22e","Democrat","D→R",32,"rep_first","twin_republican",5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,4,2,2,4,2,2,5,5,1,2.66666666666667,-2.77551020408163,-1.10884353741497,3.77551020408163,2,69,4,71,-67,-67,4,4,3,0,43,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,598207,790,"I'd rather talk with a republican",NA
"R_1kNts8d1MnBvP5N","697dd67958db8cc58de94953","Republican","R→D",92,"dem_first","twin_democrat",4,4,4,3,4,4,4,2,3,3,4,4,3,3,4,4,3,3,3,2,4,3,3,4,3.83333333333333,3.33333333333333,3.33333333333333,3.16666666666667,-0.663333333333333,-0.83,3.99666666666667,48,90,26,50,-42,-24,4,5,3,30,32,"Female",NA,NA,NA,NA,NA,NA,"Other",1,75264,18,355206,2284,"I'd rather talk with a republican",NA
"R_7mfuDwL7YKQoQup","698749dfa6d333b5c95a8a46","Democrat","D→R",88,"rep_first","twin_republican",4,4,2,3,3,2,5,5,3,4,3,2,3,4,3,2,2,2,2,2,2,4,3,1,3,3.66666666666667,2.66666666666667,2.33333333333333,-1.10884353741497,-1.4421768707483,3.77551020408163,60,69,65,84,-9,-19,2,2,4,8,27,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,2,432261,1092,"I'd rather talk with a republican",NA
"R_5kBN5MCuWvvlP6k","67e8736fe61568ecdf259abe","Democrat","D→R",49,"dem_first","twin_republican",5,4,5,4,5,4,4,3,3,3,4,4,3,5,2,4,4,4,4,4,3,1,5,1,4.5,3.5,3.66666666666667,3,-0.108843537414966,-0.775510204081633,3.77551020408163,51,65,72,78,-14,-6,3,4,5,50,50,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,2,587192,1099,"I'd rather talk with a republican","Donating all to the lady has to be my best feeling this whole"
"R_1QsZgiEPH18Mk99","67d14f0a60c7aabb0e904f59","Republican","R→D",93,"dem_first","twin_democrat",5,5,5,5,5,5,5,5,5,5,5,4,1,2,2,2,2,2,4,4,4,2,4,4,5,4.83333333333333,1.83333333333333,3.66666666666667,-2.16333333333333,-0.33,3.99666666666667,10,94,10,86,-84,-76,4,4,2,0,40,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,596287,1349,"I'd rather talk with a republican","no comments"
